file_name,window_size,sigma,zero_threshold,breath_threshold_factor,inhale_count,exhale_count
main_audio_no_delay03.wav,300,0.5,2,1.2,7,7
main_audio_no_delay03.wav,300,0.5,2,1.3,7,7
main_audio_no_delay03.wav,300,0.5,2,1.4000000000000001,7,7
main_audio_no_delay03.wav,300,0.5,2,1.5000000000000002,7,7
main_audio_no_delay03.wav,300,0.5,2,1.6000000000000003,7,7
main_audio_no_delay03.wav,300,0.5,2,1.7000000000000004,7,7
main_audio_no_delay03.wav,300,0.5,3,1.2,7,7
main_audio_no_delay03.wav,300,0.5,3,1.3,7,7
main_audio_no_delay03.wav,300,0.5,3,1.4000000000000001,7,7
main_audio_no_delay03.wav,300,0.5,3,1.5000000000000002,7,7
main_audio_no_delay03.wav,300,0.5,3,1.6000000000000003,7,7
main_audio_no_delay03.wav,300,0.5,3,1.7000000000000004,7,7
main_audio_no_delay03.wav,300,0.5,4,1.2,7,9
main_audio_no_delay03.wav,300,0.5,4,1.3,7,9
main_audio_no_delay03.wav,300,0.5,4,1.4000000000000001,8,10
main_audio_no_delay03.wav,300,0.5,4,1.5000000000000002,8,10
main_audio_no_delay03.wav,300,0.5,4,1.6000000000000003,8,10
main_audio_no_delay03.wav,300,0.5,4,1.7000000000000004,8,11
main_audio_no_delay03.wav,300,1.0,2,1.2,7,7
main_audio_no_delay03.wav,300,1.0,2,1.3,7,7
main_audio_no_delay03.wav,300,1.0,2,1.4000000000000001,7,7
main_audio_no_delay03.wav,300,1.0,2,1.5000000000000002,7,7
main_audio_no_delay03.wav,300,1.0,2,1.6000000000000003,7,7
main_audio_no_delay03.wav,300,1.0,2,1.7000000000000004,7,7
main_audio_no_delay03.wav,300,1.0,3,1.2,7,7
main_audio_no_delay03.wav,300,1.0,3,1.3,7,7
main_audio_no_delay03.wav,300,1.0,3,1.4000000000000001,7,7
main_audio_no_delay03.wav,300,1.0,3,1.5000000000000002,7,7
main_audio_no_delay03.wav,300,1.0,3,1.6000000000000003,7,7
main_audio_no_delay03.wav,300,1.0,3,1.7000000000000004,7,7
main_audio_no_delay03.wav,300,1.0,4,1.2,7,9
main_audio_no_delay03.wav,300,1.0,4,1.3,7,9
main_audio_no_delay03.wav,300,1.0,4,1.4000000000000001,8,10
main_audio_no_delay03.wav,300,1.0,4,1.5000000000000002,8,10
main_audio_no_delay03.wav,300,1.0,4,1.6000000000000003,8,10
main_audio_no_delay03.wav,300,1.0,4,1.7000000000000004,8,10
main_audio_no_delay03.wav,300,1.5,2,1.2,7,7
main_audio_no_delay03.wav,300,1.5,2,1.3,7,7
main_audio_no_delay03.wav,300,1.5,2,1.4000000000000001,7,7
main_audio_no_delay03.wav,300,1.5,2,1.5000000000000002,7,7
main_audio_no_delay03.wav,300,1.5,2,1.6000000000000003,7,7
main_audio_no_delay03.wav,300,1.5,2,1.7000000000000004,7,7
main_audio_no_delay03.wav,300,1.5,3,1.2,7,7
main_audio_no_delay03.wav,300,1.5,3,1.3,7,7
main_audio_no_delay03.wav,300,1.5,3,1.4000000000000001,7,7
main_audio_no_delay03.wav,300,1.5,3,1.5000000000000002,7,7
main_audio_no_delay03.wav,300,1.5,3,1.6000000000000003,7,7
main_audio_no_delay03.wav,300,1.5,3,1.7000000000000004,7,7
main_audio_no_delay03.wav,300,1.5,4,1.2,7,9
main_audio_no_delay03.wav,300,1.5,4,1.3,7,9
main_audio_no_delay03.wav,300,1.5,4,1.4000000000000001,7,9
main_audio_no_delay03.wav,300,1.5,4,1.5000000000000002,8,10
main_audio_no_delay03.wav,300,1.5,4,1.6000000000000003,8,10
